team 1,team 2,team 1 elo,team 2 elo,win,score advantage,team 1 xg for,team 2 xg for,alt 1,alt 2,venue_humid,humid 1,humid 2
Russia,Saudi Arabia,1752,1583,1,5,1.48,1.18,130,612,74,74,54
Egypt,Uruguay,1613,1922,0,-1,0.75,1.55,23,43,72,76,76
Morocco,Iran,1728,1823,0,-1,0.85,0.73,75,1191,73,74,58
Portugal,Spain,1959,2011,,0,1.3,1.43,77,650,79,77,59
France,Australia,2092,1736,1,1,1.68,0.88,35,577,70,79,62
Argentina,Iceland,1920,1668,,0,1.35,0.98,25,18,74,76,79
Peru,Denmark,1855,1897,0,-1,1.02,1.15,154,10,68,83,78
Croatia,Nigeria,1924,1712,1,2,1.7,1,122,840,78,67,77
Costa Rica,Serbia,1724,1814,0,-1,0.78,0.8,1161,117,62,84,68
Germany,Mexico,1937,1779,0,-1,0.95,1.2,34,2240,74,72,76
Brazil,Switzerland,2136,1921,,0,2.05,1.08,1172,540,66,83,66
Sweden,South Korea,1850,1778,1,1,1.25,0.83,28,38,76,74,67
Belgium,Panama,2034,1565,1,3,1.85,0.72,13,6,79,75,80
Tunisia,England,1646,1959,0,-1,0.93,1.9,4,11,55,72,77
Colombia,Japan,1960,1730,0,-1,1.22,1.1,2625,40,68,82,76
Poland,Senegal,1751,1755,0,-1,0.9,1.05,110,22,74,74,71
Russia,Egypt,1752,1613,1,2,1.48,0.75,130,23,73,74,76
Portugal,Morocco,1959,1728,1,1,1.3,0.85,77,75,74,77,74
Uruguay,Saudi Arabia,1922,1583,1,1,1.55,1.18,43,612,66,76,54
Iran,Spain,1823,2011,0,-1,0.73,1.43,1191,650,70,58,59
Denmark,Australia,1897,1736,,0,1.15,0.88,10,577,62,78,62
France,Peru,2092,1855,1,1,1.68,1.02,35,154,72,79,83
Argentina,Croatia,1920,1924,0,-3,1.35,1.7,25,122,76,76,67
Brazil,Costa Rica,2136,1724,1,2,2.05,0.78,1172,1161,73,83,84
Nigeria,Iceland,1712,1668,1,2,1,0.98,840,18,55,77,79
Serbia,Switzerland,1814,1921,0,-1,0.8,1.08,117,540,78,68,66
Belgium,Tunisia,2034,1646,1,3,1.85,0.93,13,4,74,75,72
South Korea,Mexico,1778,1779,0,-1,0.83,1.2,38,2240,66,67,76
Germany,Sweden,1937,1850,1,1,0.95,1.25,34,28,79,72,74
England,Panama,1959,1565,1,5,1.9,0.72,11,6,76,77,80
Japan,Senegal,1730,1755,,0,1.1,1.05,40,22,72,76,71
Poland,Colombia,1751,1960,0,-3,0.9,1.22,110,2625,70,74,82
Saudi Arabia,Egypt,1583,1613,1,1,1.18,0.75,612,23,55,54,76
Iran,Portugal,1823,1959,,0,0.73,1.3,1191,77,68,58,77
Spain,Morocco,2011,1728,,0,1.43,0.85,650,75,78,59,74
Australia,Peru,1736,1855,0,-2,0.88,1.02,577,154,79,62,83
Nigeria,Argentina,1712,1920,0,-1,1,1.35,840,25,73,77,76
Mexico,Sweden,1779,1850,0,-3,1.2,1.25,2240,28,72,76,74
South Korea,Germany,1778,1937,1,2,0.83,0.95,38,34,70,67,72
Switzerland,Costa Rica,1921,1724,,0,1.08,0.78,540,1161,76,66,84
Serbia,Brazil,1814,2136,0,-2,0.8,2.05,117,1172,74,68,83
Senegal,Colombia,1755,1960,0,-1,1.05,1.22,22,2625,62,71,82
Japan,Poland,1730,1751,0,-1,1.1,0.9,40,110,55,76,74
Panama,Tunisia,1565,1646,0,-1,0.72,0.93,6,4,68,80,72
France,Argentina,2092,1920,1,1,1.68,1.35,35,25,70,79,76
Uruguay,Portugal,1922,1959,1,1,1.55,1.3,43,77,79,76,77
Spain,Russia,2011,1752,,0,1.43,1.48,650,130,74,59,74
Croatia,Denmark,1924,1897,,0,1.7,1.15,122,10,76,67,78
Brazil,Mexico,2136,1779,1,2,2.05,1.2,1172,2240,62,83,76
Belgium,Japan,2034,1730,1,1,1.85,1.1,13,40,66,75,76
Sweden,Switzerland,1850,1921,1,1,1.25,1.08,28,540,73,74,66
Colombia,England,1960,1959,,0,1.22,1.9,2625,11,74,82,77
Uruguay,France,1922,2092,0,-2,1.55,1.68,43,35,76,76,79
Brazil,Belgium,2136,2034,0,-1,2.05,1.85,1172,13,74,83,75
Sweden,England,1850,1959,0,-2,1.25,1.9,28,11,62,74,77
Russia,Croatia,1752,1924,,0,1.48,1.7,130,122,79,74,67
France,Belgium,2092,2034,1,1,1.68,1.85,35,13,73,79,75
Croatia,England,1924,1959,1,1,1.7,1.9,122,11,74,67,77
Belgium,England,2034,1959,1,2,1.85,1.9,13,11,73,75,77
Croatia,France,1924,2092,1,2,1.7,1.68,122,35,51,67,79
